Column,Sheet,Data Type,Description
DATE,Booking Records Data Table,Date,Date of arrest
ARRESTEE_ID,Booking Records Data Table,String,Anonymized identifier for each arrestee
CITY,Booking Records Data Table,String,City portion of arrestee home address
STATE,Booking Records Data Table,String,State portion of arrestee home address
ZIP_CODE,Booking Records Data Table,Integer,ZIP code portion of arrestee home address
ZIP_CODE_4,Booking Records Data Table,Integer,ZIP code + 4 portion of arrestee home address
ADDRESS_TYPE,Booking Records Data Table,String,Type of address (see Kaggle page)
ADDRESS_STATUS,Booking Records Data Table,String,Validity of address (see Kaggle page)
AGE,Booking Records Data Table,Integer,Age of arrestee
AGENCY,Booking Records Data Table,String,Agency that made the arrest
NUMBER_OF_CHARGES,Booking Records Data Table,Integer,Number of charges listed for each arrest
PRIMARY_CHARGE,Booking Records Data Table,String,Charge identified as the reason for arrest (see Kaggle page)
PRIMARY_CHARGE_TYPE,Booking Records Data Table,String,Category of each primary charge listed
HIGHEST_CHARGE_CLASSIFICATION,Booking Records Data Table,String,Legal classification for each primary charge listed
CHARGE_1,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_2,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_3,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_4,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_5,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_6,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_7,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_8,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_9,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_10,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_11,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_12,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_13,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
CHARGE_14,Booking Records Data Table,String,"Individual charges listed in original order, cleaned and formatted"
