DATE,ROSTER_COUNT,PRETRIAL_COST,HCSO_COST,DAILY_ADMISSIONS,DAILY_RELEASES,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
3/15/2020,507,"$24,060.32","$38,496.51",0,7,0,0,0,0,0,0,0,0,0,0
3/16/2020,509,"$24,155.23","$38,648.37",9,21,3,0,0,0,0,0,0,0,0,0
3/17/2020,515,"$24,439.97","$39,103.95",27,24,8,0,0,0,0,0,0,0,0,0
3/18/2020,511,"$24,250.14","$38,800.23",20,24,13,1,0,0,0,0,0,0,0,0
3/19/2020,509,"$24,155.23","$38,648.37",22,30,9,4,2,0,0,0,0,0,0,0
3/20/2020,500,"$23,728.13","$37,965.00",21,41,12,2,5,0,0,0,0,0,0,0
3/21/2020,473,"$22,446.81","$35,914.89",14,4,5,2,1,0,0,0,0,0,0,0
3/22/2020,476.5,"$22,612.90","$36,180.65",7.5,4,0,0,0,0,0,0,0,0,0,0
3/23/2020,480,"$22,779.00","$36,446.40",7.5,20,4,0,6,2,0,0,0,0,0,0
3/24/2020,465,"$22,067.16","$35,307.45",5,20,1,1,7,1,0,0,0,0,0,0
3/25/2020,456,"$21,640.05","$34,624.08",11,12,2,2,6,1,0,0,0,0,0,0
3/26/2020,448,"$21,260.40","$34,016.64",4,47,1,3,4,8,0,0,0,0,0,0
3/27/2020,416,"$19,741.80","$31,586.88",15,43,10,3,0,2,0,0,0,0,0,0
3/28/2020,387,"$18,365.57","$29,384.91",14,9,6,0,3,0,0,0,0,0,0,0
3/29/2020,384,"$18,223.20","$29,157.12",6,7,4,1,0,2,0,0,0,0,0,0
3/30/2020,395,"$18,745.22","$29,992.35",18,34,3,1,3,2,0,0,0,0,0,0
3/31/2020,371,"$17,606.27","$28,170.03",10,38,4,3,2,2,2,0,0,0,0,0
4/1/2020,347,"$16,467.32","$26,347.71",14,37,8,5,2,6,0,0,0,0,0,0
4/2/2020,318,"$15,091.09","$24,145.74",8,28,0,3,3,1,0,0,0,0,0,0
4/3/2020,299,"$14,189.42","$22,703.07",9,22,3,2,0,2,0,0,0,0,0,0
4/4/2020,288,"$13,667.40","$21,867.84",11,6,5,1,0,0,0,0,0,0,0,0
4/5/2020,297,"$14,094.51","$22,551.21",15,8,3,0,1,0,0,0,0,0,0,0
4/6/2020,301,"$14,284.33","$22,854.93",12,1,1,0,0,0,0,0,0,0,0,0
4/7/2020,307,"$14,569.07","$23,310.51",7,18,3,5,2,1,0,0,0,0,0,0
