BOND_AGENT,ID,STATUS_DATE,BOND_AMOUNT
A BONDING COMPANY,PET457,1/11/2020,"$6,000.00"
A BONDING COMPANY,WAY502,1/11/2020,"$3,000.00"
A BONDING COMPANY,MAR919,1/25/2020,"$2,500.00"
A BONDING COMPANY,MAR081,2/4/2020,"$6,000.00"
A BONDING COMPANY,CUN090,2/15/2020,"$2,500.00"
A BONDING COMPANY,FER727,2/21/2020,"$2,500.00"
A BONDING COMPANY,PEO228,3/8/2020,"$2,500.00"
A BONDING COMPANY,COO560,4/22/2020,"$1,500.00"
A BONDING COMPANY,JOH109,4/30/2020,"$3,000.00"
A BONDING COMPANY,MAS597,5/24/2020,"$3,000.00"
A BONDING COMPANY,VIL712,5/25/2020,"$3,000.00"
A BONDING COMPANY,DEL275,5/30/2020,"$2,000.00"
A BONDING COMPANY,SIN034,7/12/2020,"$2,000.00"
A BONDING COMPANY,HOB730,8/1/2020,"$4,000.00"
A FREE-MAN BONDING COMPANY,NIX401,6/17/2020,"$2,000.00"
A FREE-MAN BONDING COMPANY,COS229,2/18/2020,"$4,500.00"
A FREE-MAN BONDING COMPANY,BRO492,4/4/2020,"$2,000.00"
A FREE-MAN BONDING COMPANY,SIM383,6/22/2020,$500.00
A FREE-MAN BONDING COMPANY,MOO865,8/16/2020,"$1,000.00"
A FREE-MAN BONDING COMPANY,FUG900,8/16/2020,"$5,000.00"
A FREE-MAN BONDING COMPANY,MOO520,8/25/2020,"$4,000.00"
A FREE-MAN BONDING COMPANY,ELK548,8/22/2020,"$10,000.00"
A FREE-MAN BONDING COMPANY,COU256,8/31/2020,"$4,500.00"
A-1 BONDING CO.,COL095,3/3/2020,"$1,000.00"
A-1 BONDING CO.,HAR555,4/15/2020,"$1,500.00"
A-1 BONDING CO.,HAR768,2/2/2020,"$3,000.00"
A-1 BONDING CO.,BRI713,5/7/2020,"$6,000.00"
A-1 BONDING CO.,HAR581,2/2/2020,"$10,000.00"
A-1 BONDING CO.,ROL380,8/10/2020,$100.00
A-1 BONDING CO.,ROL632,8/10/2020,$200.00
A-1 BONDING CO.,GUE266,2/16/2020,"$10,000.00"
A-1 BONDING CO.,MOO991,1/11/2020,"$1,500.00"
A-1 BONDING CO.,PRI308,2/28/2020,"$5,000.00"
A-1 BONDING CO.,WAT313,2/10/2020,"$2,000.00"
A-1 BONDING CO.,JEN895,1/26/2020,"$2,000.00"
A-1 BONDING CO.,ROB752,2/2/2020,"$2,500.00"
A-1 BONDING CO.,WIL469,2/8/2020,"$1,750.00"
A-1 BONDING CO.,RUS081,9/2/2020,"$1,500.00"
A-1 BONDING CO.,CAR220,2/29/2020,"$20,000.00"
A-1 BONDING CO.,JAC222,2/27/2020,"$1,500.00"
A-1 BONDING CO.,NIX270,3/8/2020,"$4,000.00"
A-1 BONDING CO.,BOS271,3/8/2020,"$4,500.00"
A-1 BONDING CO.,HAR063,3/15/2020,"$1,000.00"
A-1 BONDING CO.,ROL299,8/10/2020,"$1,000.00"
A-1 BONDING CO.,SWE080,3/31/2020,"$2,500.00"
A-1 BONDING CO.,STU299,4/3/2020,"$2,500.00"
A-1 BONDING CO.,TUR396,5/29/2020,$500.00
A-1 BONDING CO.,BLE790,4/27/2020,"$25,000.00"
A-1 BONDING CO.,JON464,5/5/2020,"$5,500.00"
A-1 BONDING CO.,ERW624,5/16/2020,"$1,500.00"
A-1 BONDING CO.,POW480,5/23/2020,"$1,500.00"
A-1 BONDING CO.,BYR591,5/24/2020,"$3,000.00"
A-1 BONDING CO.,CLA083,6/9/2020,"$1,000.00"
A-1 BONDING CO.,GRE421,6/13/2020,"$2,250.00"
A-1 BONDING CO.,ASH119,6/25/2020,"$1,000.00"
A-1 BONDING CO.,LEF419,9/3/2020,"$9,000.00"
A-1 BONDING CO.,HIN837,6/28/2020,"$2,000.00"
A-1 BONDING CO.,COS116,7/13/2020,"$5,000.00"
A-1 BONDING CO.,LEE201,7/16/2020,"$10,000.00"
A-1 BONDING CO.,BAR514,7/6/2020,"$4,000.00"
A-1 BONDING CO.,PRE586,7/7/2020,"$2,500.00"
A-1 BONDING CO.,BON856,7/10/2020,"$2,500.00"
A-1 BONDING CO.,HOL055,7/13/2020,"$5,000.00"
A-1 BONDING CO.,CUM387,7/18/2020,"$5,000.00"
A-1 BONDING CO.,MAX223,7/27/2020,"$14,000.00"
A-1 BONDING CO.,ROL447,8/10/2020,"$7,250.00"
A-1 BONDING CO.,RIC450,8/10/2020,"$4,000.00"
A-1 BONDING CO.,DUN050,8/18/2020,"$15,000.00"
A-1 BONDING CO.,DIS514,8/22/2020,"$1,300.00"
A-1 BONDING CO.,PAT398,9/2/2020,"$2,000.00"
A-1 BONDING CO.,GRE423,9/2/2020,"$3,000.00"
A-1 BONDING CO.,WHI531,9/3/2020,$750.00
A-1 BONDING CO.,REE623,9/4/2020,"$1,500.00"
A-1 BONDING CO.,DIL299,9/20/2020,"$2,000.00"
ABC BONDING CO.,RIC618,6/23/2020,"$4,200.00"
ABC BONDING CO.,RIC224,6/23/2020,"$2,500.00"
ABC BONDING CO.,ALL726,2/11/2020,"$1,000.00"
ABC BONDING CO.,SUM149,5/6/2020,"$10,000.00"
ABC BONDING CO.,BRI731,5/18/2020,"$2,250.00"
ABC BONDING CO.,WAL782,5/27/2020,"$6,000.00"
ABC BONDING CO.,THO461,6/2/2020,"$3,000.00"
ABC BONDING CO.,MIN755,6/26/2020,"$4,000.00"
ABC BONDING CO.,GIB390,7/29/2020,"$3,000.00"
ABC BONDING CO.,BUR316,8/8/2020,"$2,000.00"
ABC BONDING CO.,GRE512,8/16/2020,"$8,500.00"
ABC BONDING CO.,PEA964,8/17/2020,"$7,500.00"
ABC BONDING CO.,BUT356,9/21/2020,"$2,000.00"
AFFORDABAIL BAIL LLC,SUL372,3/14/2020,"$30,000.00"
AFFORDABAIL BAIL LLC,WAL351,8/29/2020,"$6,500.00"
AFFORDABAIL BAIL LLC,WAL829,8/29/2020,"$35,000.00"
AFFORDABAIL BAIL LLC,TWI056,8/2/2020,"$22,500.00"
AFFORDABAIL BAIL LLC,BRE343,5/20/2020,"$7,000.00"
AFFORDABAIL BAIL LLC,TWI265,8/2/2020,"$20,000.00"
AFFORDABAIL BAIL LLC,OLI709,2/1/2020,"$3,000.00"
AFFORDABAIL BAIL LLC,TWI337,8/2/2020,"$21,000.00"
AFFORDABAIL BAIL LLC,JAC908,4/15/2020,"$110,000.00"
AFFORDABAIL BAIL LLC,SUL904,3/14/2020,"$50,000.00"
AFFORDABAIL BAIL LLC,MAY938,10/1/2020,"$2,000.00"
AFFORDABAIL BAIL LLC,BRE100,5/20/2020,"$18,500.00"
AFFORDABAIL BAIL LLC,HER198,5/2/2020,"$4,000.00"
AFFORDABAIL BAIL LLC,RIC477,5/15/2020,"$2,000.00"
AFFORDABAIL BAIL LLC,MAR561,5/24/2020,"$15,000.00"
AFFORDABAIL BAIL LLC,STU595,6/15/2020,"$1,000.00"
AFFORDABAIL BAIL LLC,RUT238,7/2/2020,"$15,000.00"
AFFORDABAIL BAIL LLC,CLA042,6/30/2020,"$66,000.00"
AFFORDABAIL BAIL LLC,LEW355,7/19/2020,"$9,000.00"
AFFORDABAIL BAIL LLC,REV547,7/27/2020,"$2,250.00"
AFFORDABAIL BAIL LLC,MCP595,7/8/2020,"$2,500.00"
AFFORDABAIL BAIL LLC,BRO992,9/13/2020,"$15,000.00"
AFFORDABAIL BAIL LLC,ROM139,8/12/2020,"$30,000.00"
AFFORDABAIL BAIL LLC,BAR357,8/21/2020,"$4,000.00"
AFFORDABAIL BAIL LLC,HUN463,7/27/2020,"$13,500.00"
AFFORDABAIL BAIL LLC,HOL052,8/13/2020,"$47,500.00"
AFFORDABAIL BAIL LLC,ROM636,8/12/2020,"$95,000.00"
AFFORDABAIL BAIL LLC,SMI029,9/1/2020,"$5,000.00"
AFFORDABAIL BAIL LLC,HOL082,8/26/2020,"$15,000.00"
AFFORDABAIL BAIL LLC,MCG242,8/19/2020,"$1,500.00"
